age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,previous,poutcome,Target,age_group
55,9,1,1,0,1205,1,0,2,158,2,0,3,0,7
35,1,2,1,0,12223,1,1,2,177,1,0,3,0,3
57,1,1,1,0,5935,1,1,2,258,1,0,3,0,7
31,7,1,1,0,25,1,1,2,172,1,0,3,0,2
54,4,1,1,0,282,1,1,2,154,1,0,3,0,7
55,1,1,0,0,23,1,0,2,291,1,0,3,0,7
43,9,1,1,0,1937,1,0,2,181,1,0,3,0,5
53,9,1,1,0,384,1,0,2,176,1,0,3,0,7
44,1,1,1,0,582,0,1,2,211,1,0,3,0,5
55,7,0,1,0,91,0,0,2,349,1,0,3,0,7
49,7,0,1,0,0,1,1,2,272,1,0,3,0,6
55,7,0,1,1,1,1,0,2,208,1,0,3,0,7
45,0,2,1,0,206,1,0,2,193,1,0,3,0,5
47,7,0,1,0,164,0,0,2,212,1,0,3,0,5
42,9,2,1,0,690,1,0,2,20,1,0,3,0,4
59,0,1,1,0,2343,1,0,2,1042,1,0,3,1,8
46,6,1,2,0,137,1,1,2,246,1,0,3,0,5
51,1,1,0,0,173,1,0,2,529,2,0,3,0,6
56,0,1,1,0,45,0,0,2,1467,1,0,3,1,7
41,9,1,1,0,1270,1,0,2,1389,1,0,3,1,4
46,4,0,1,0,16,1,1,2,188,2,0,3,0,5
57,5,1,1,0,486,1,0,2,180,2,0,3,0,7
42,4,2,1,0,50,0,0,2,48,1,0,3,0,4
30,9,1,1,0,152,1,1,2,213,2,0,3,0,2
60,0,1,1,0,290,1,0,2,583,1,0,3,0,8
60,1,1,3,0,54,1,0,2,221,1,0,3,0,8
57,2,0,1,0,-37,0,0,2,173,1,0,3,0,7
36,4,1,2,0,101,1,1,2,426,1,0,3,0,3
55,1,1,1,0,383,0,0,2,287,1,0,3,0,7
60,5,1,2,0,81,1,0,2,101,1,0,3,0,8
39,9,1,1,0,0,1,0,2,203,1,0,3,0,4
46,4,1,2,0,229,1,0,2,197,1,0,3,0,5
44,1,1,1,0,-674,1,0,2,257,1,0,3,0,5
53,1,1,0,0,90,0,0,2,124,1,0,3,0,7
52,1,1,0,0,128,1,0,2,229,1,0,3,0,6
59,1,1,0,0,179,1,0,2,55,3,0,3,0,8
27,9,2,2,0,0,1,0,2,400,1,0,3,0,1
44,1,1,1,0,54,1,0,2,197,1,0,3,0,5
47,9,1,2,0,151,1,0,2,190,1,0,3,0,5
34,0,1,1,0,61,0,1,2,21,1,0,3,0,3
59,5,2,1,0,30,1,0,2,514,1,0,3,0,8
45,4,1,2,0,523,1,0,2,849,2,0,3,0,5
29,7,0,1,0,31,1,0,2,194,1,0,3,0,2
46,9,0,1,0,79,0,0,2,144,1,0,3,0,5
56,6,1,0,0,-34,1,1,2,212,2,0,3,0,7
36,1,1,0,0,448,1,0,2,286,1,0,3,0,3
59,5,0,0,0,81,1,0,2,107,1,0,3,0,8
44,1,1,1,0,144,1,0,2,247,2,0,3,0,5
41,0,1,1,0,351,1,0,2,518,1,0,3,0,4
33,4,2,2,0,-67,1,0,2,364,1,0,3,0,3
59,4,0,2,0,262,0,0,2,178,1,0,3,0,8
57,9,1,0,0,0,0,0,2,98,1,0,3,0,7
56,9,0,3,0,56,1,0,2,439,1,0,3,0,7
51,1,1,1,0,26,1,0,2,79,1,0,3,0,6
34,0,1,3,0,3,1,0,2,120,3,0,3,0,3
43,7,1,1,0,41,1,1,2,127,2,0,3,0,5
52,9,1,2,0,7,0,1,2,175,1,0,3,0,6
33,9,2,1,0,105,1,0,2,262,2,0,3,0,3
29,0,2,1,0,818,1,1,2,61,1,0,3,0,2
34,7,1,1,0,-16,1,1,2,78,1,0,3,0,3
31,1,1,1,0,0,1,0,2,143,1,0,3,0,2
55,7,1,1,0,2476,1,0,2,579,1,0,3,1,7
55,4,1,3,0,1185,0,0,2,677,1,0,3,0,7
32,0,2,1,0,217,1,0,2,345,1,0,3,0,2
38,9,2,1,0,1685,1,0,2,185,1,0,3,0,4
55,0,2,1,0,802,1,1,2,100,2,0,3,0,7
28,10,2,2,0,0,1,0,2,125,2,0,3,0,2
23,1,1,1,0,94,1,0,2,193,1,0,3,0,1
32,9,2,1,0,0,1,0,2,136,1,0,3,0,2
43,7,2,3,0,0,0,0,2,73,1,0,3,0,5
32,1,1,1,0,517,1,0,2,528,1,0,3,0,2
46,1,1,1,0,265,1,0,2,541,1,0,3,0,5
53,3,0,0,0,947,1,0,2,163,1,0,3,0,7
34,6,2,1,0,3,1,0,2,301,1,0,3,0,3
57,10,1,2,0,42,0,0,2,46,1,0,3,0,7
37,1,1,1,0,37,1,0,2,204,1,0,3,0,3
59,1,1,1,0,57,1,0,2,98,1,0,3,0,8
33,7,1,1,0,22,1,0,2,71,1,0,3,0,3
56,1,0,0,0,8,1,0,2,157,2,0,3,0,7
48,10,1,1,0,293,1,0,2,243,1,0,3,0,6
43,7,1,0,0,3,1,0,2,186,2,0,3,0,5
54,1,1,0,0,348,1,0,2,579,2,0,3,0,7
51,1,1,3,0,-19,1,0,2,163,2,0,3,0,6
26,8,2,1,0,0,1,0,2,610,2,0,3,0,1
40,4,1,2,0,-4,1,0,2,2033,1,0,3,0,4
39,4,1,1,0,18,1,0,2,85,1,0,3,0,4
50,9,1,0,0,139,0,0,2,114,2,0,3,0,6
41,7,1,1,0,0,1,0,2,114,2,0,3,0,4
51,1,1,3,0,1883,1,0,2,57,1,0,3,0,6
60,5,0,1,0,216,1,0,2,238,1,0,3,0,8
52,1,1,1,0,782,1,0,2,93,3,0,3,0,6
48,1,1,1,0,904,1,0,2,128,2,0,3,0,6
48,7,1,3,0,1705,1,0,2,107,1,0,3,0,6
39,9,2,2,0,47,1,0,2,181,1,0,3,0,4
47,7,2,1,0,176,1,0,2,303,2,0,3,0,5
40,1,1,1,0,1225,1,0,2,558,5,0,3,0,4
45,9,1,1,0,86,1,0,2,270,1,0,3,0,5
26,0,2,1,0,82,1,0,2,228,1,0,3,0,1
52,4,1,2,0,271,1,0,2,99,1,0,3,0,6
54,9,1,1,0,1378,1,0,2,240,1,0,3,0,7
54,0,1,2,0,184,0,0,2,673,2,0,3,1,7
50,1,1,0,0,0,0,0,2,233,3,0,3,0,6
35,1,1,1,0,0,1,0,2,1056,1,0,3,0,3
44,7,1,1,0,1357,1,1,2,250,1,0,3,0,5
53,2,1,3,0,19,1,0,2,252,1,0,3,0,7
35,5,2,0,0,434,0,0,2,138,1,0,3,0,3
60,0,0,1,0,92,1,0,2,130,1,0,3,0,8
53,0,0,1,0,1151,1,0,2,412,1,0,3,0,7
48,10,1,1,0,41,1,0,2,179,2,0,3,0,6
34,9,1,1,0,51,1,0,2,19,2,0,3,0,3
54,7,1,1,0,214,1,0,2,458,2,0,3,0,7
51,4,1,1,0,1161,1,0,2,717,1,0,3,0,6
31,7,1,2,0,37,1,0,2,313,1,0,3,0,2
35,9,0,1,0,787,1,0,2,683,2,0,3,0,3
35,7,1,1,0,59,1,0,2,1077,1,0,3,0,3
38,9,1,1,0,253,1,0,2,416,1,0,3,0,4
36,0,1,2,0,211,1,0,2,146,2,0,3,0,3
58,5,1,0,0,235,1,0,2,167,1,0,3,0,8
40,7,0,3,0,4384,1,0,2,315,1,0,3,0,4
54,4,1,1,0,4080,0,0,2,140,1,0,3,0,7
34,1,2,1,0,53,1,1,2,346,1,0,3,0,3
31,4,2,2,0,0,1,0,2,562,1,0,3,0,2
51,5,1,1,0,2127,1,0,2,172,1,0,3,0,6
33,4,1,2,0,377,1,0,2,217,1,0,3,0,3
55,4,1,2,0,73,1,0,2,142,2,0,3,0,7
42,0,1,1,0,445,1,0,2,67,1,0,3,0,4
34,1,1,1,0,243,1,0,2,291,1,0,3,0,3
33,1,2,1,0,307,1,0,2,309,2,0,3,0,3
38,7,1,1,0,155,1,0,2,248,1,0,3,0,4
50,9,0,2,0,173,0,1,2,98,1,0,3,0,6
43,4,1,2,0,400,1,0,2,256,1,0,3,0,5
61,1,0,0,0,1428,1,0,2,82,2,0,3,0,8
47,0,1,1,0,219,1,0,2,577,1,0,3,0,5
48,6,1,2,0,7,1,0,2,286,1,0,3,0,6
44,1,1,1,0,575,1,0,2,477,1,0,3,0,5
35,8,2,3,0,298,1,0,2,611,2,0,3,0,3
35,7,1,1,0,0,1,0,2,471,1,0,3,0,3
50,7,1,1,0,5699,1,0,2,381,2,0,3,0,6
41,4,1,2,0,176,1,1,2,42,1,0,3,0,4
41,4,1,2,0,517,1,0,2,251,1,0,3,0,4
39,7,2,3,0,257,1,0,2,408,1,0,3,0,4
42,5,1,1,0,56,1,0,2,215,1,0,3,0,4
38,1,1,1,0,-390,1,0,2,287,1,0,3,0,4
53,5,1,1,0,330,1,0,2,216,2,0,3,0,7
59,3,0,0,0,195,0,0,2,366,2,0,3,0,8
36,7,1,1,0,301,1,0,2,210,1,0,3,0,3
54,1,1,0,0,-41,1,0,2,288,1,0,3,0,7
40,9,1,2,0,483,1,0,2,168,1,0,3,0,4
47,11,1,3,0,28,0,0,2,338,2,0,3,0,5
53,10,1,3,0,13,0,0,2,410,3,0,3,0,7
46,3,1,0,0,965,0,0,2,177,1,0,3,0,5
39,4,1,2,0,378,1,1,2,127,2,0,3,0,4
40,10,1,1,0,219,1,0,2,357,1,0,3,0,4
28,1,1,0,0,324,1,0,2,175,1,0,3,0,2
35,2,0,1,0,-69,1,0,2,300,1,0,3,0,3
55,5,1,1,0,0,0,1,2,136,1,0,3,0,7
43,9,0,3,0,205,1,0,2,1419,1,0,3,0,5
48,1,1,0,0,278,1,0,2,125,2,0,3,0,6
58,4,1,3,0,1065,1,0,2,213,3,0,3,0,8
33,4,2,2,0,34,1,0,2,27,1,0,3,0,3
36,1,1,3,0,1033,0,0,2,238,2,0,3,0,3
53,7,0,1,0,1467,1,0,2,124,1,0,3,0,7
47,1,1,0,0,-12,1,0,2,18,1,0,3,0,5
31,7,1,1,0,388,1,0,2,730,2,0,3,0,2
57,2,1,1,0,294,1,0,2,746,2,0,3,0,7
53,1,1,3,0,1827,0,0,2,121,1,0,3,0,7
55,1,1,0,0,627,1,0,2,247,1,0,3,0,7
45,1,1,0,0,25,1,0,2,40,1,0,3,0,5
53,0,0,1,0,315,1,0,2,181,2,0,3,0,7
37,1,1,0,0,0,1,0,2,79,1,0,3,0,3
44,0,0,1,0,66,1,0,2,206,1,0,3,0,5
49,1,0,0,0,-9,1,1,2,389,1,0,3,0,6
46,9,1,1,0,349,1,1,2,127,1,0,3,0,5
43,2,1,3,0,100,1,0,2,702,1,0,3,0,5
38,0,1,1,0,0,0,0,2,151,1,0,3,0,4
43,9,1,1,0,434,1,0,2,117,1,0,3,0,5
49,4,1,2,0,3237,1,0,2,232,3,0,3,0,6
42,4,1,3,0,275,0,0,2,408,2,0,3,0,4
22,1,2,1,0,0,1,0,2,179,2,0,3,0,0
40,4,1,2,0,207,1,0,2,39,1,0,3,0,4
39,1,1,1,0,483,1,0,2,282,1,0,3,0,4
51,7,1,1,0,2248,1,0,2,714,2,0,3,0,6
49,0,1,1,0,428,1,0,2,50,1,0,3,0,6
53,1,1,1,0,0,1,1,2,181,1,0,3,0,7
34,7,2,1,0,0,1,0,2,142,1,0,3,0,3
33,9,0,1,0,140,1,0,2,227,1,0,3,0,3
50,4,2,2,0,297,1,0,2,119,1,0,3,0,6
39,1,1,0,0,279,1,0,2,361,1,0,3,0,4
59,2,0,1,0,901,1,0,2,73,3,0,3,0,8
30,9,2,1,0,2573,1,0,2,67,2,0,3,0,2
36,7,1,1,0,143,1,1,2,350,1,0,3,0,3
40,1,1,1,0,475,1,0,2,332,2,0,3,0,4
53,1,1,1,0,70,1,0,2,611,2,0,3,0,7
34,4,2,2,0,318,1,0,2,113,2,0,3,0,3
37,9,1,1,0,275,1,0,2,132,1,0,3,0,3
42,4,0,2,0,742,1,0,2,58,3,0,3,0,4
41,2,1,0,0,236,1,0,2,151,1,0,3,0,4
30,8,2,2,0,25,1,0,2,89,2,0,3,0,2
37,4,2,2,0,600,1,0,2,152,1,0,3,0,3
39,0,0,1,0,-349,1,0,2,611,2,0,3,0,4
41,1,1,0,0,183,1,1,2,110,2,0,3,0,4
40,1,1,0,0,0,1,0,2,463,1,0,3,0,4
42,4,2,2,0,0,1,1,2,562,2,0,3,1,4
40,1,0,0,0,0,1,0,2,962,1,0,3,0,4
57,9,1,1,0,1078,1,0,2,10,4,0,3,0,7
56,2,0,1,0,155,0,0,2,118,3,0,3,0,7
37,0,1,1,0,190,1,0,2,92,2,0,3,0,3
59,5,1,1,0,319,1,0,2,143,3,0,3,0,8
39,7,0,1,0,-185,1,0,2,189,3,0,3,0,4
49,7,1,1,0,47,0,0,2,234,2,0,3,0,6
38,7,2,1,0,570,1,0,2,75,2,0,3,0,4
36,6,1,2,0,19,0,0,2,189,2,0,3,0,3
50,1,1,0,0,61,1,0,2,621,3,0,3,0,6
41,0,1,1,0,-62,1,1,2,55,2,0,3,0,4
54,9,1,2,0,258,0,0,2,310,4,0,3,0,7
58,1,1,0,0,76,1,0,2,156,2,0,3,0,8
30,1,2,1,0,0,1,0,2,5,2,0,3,0,2
33,0,2,1,0,352,1,0,2,225,2,0,3,0,3
47,0,1,1,0,368,1,0,2,125,2,0,3,0,5
50,9,2,2,0,339,1,0,2,2,3,0,3,0,6
32,1,1,1,0,1331,1,0,2,286,2,0,3,0,2
40,6,1,1,0,672,1,0,2,164,2,0,3,0,4
37,4,1,2,0,58,1,0,2,98,2,0,3,0,3
54,9,2,3,0,447,1,0,2,742,2,0,3,0,7
24,8,2,1,0,423,1,0,2,226,3,0,3,0,1
54,4,1,2,0,0,0,0,2,120,2,0,3,0,7
34,9,1,1,0,19,1,0,2,362,4,0,3,0,3
56,9,0,0,0,13,1,0,2,357,2,0,3,0,7
31,1,2,1,0,3,1,0,2,200,2,0,3,0,2
24,8,2,1,0,82,1,0,2,204,2,0,3,0,1
42,1,0,0,0,28,1,0,2,126,3,0,3,0,4
57,9,1,1,0,792,1,0,2,65,2,0,3,0,7
42,1,1,3,0,408,1,0,2,107,2,0,3,0,4
51,0,1,1,0,531,1,0,2,267,2,0,3,0,6
57,5,1,1,0,211,1,0,2,248,2,0,3,0,7
36,7,2,1,0,62,1,0,2,215,2,0,3,0,3
53,7,1,3,0,257,1,0,2,209,2,0,3,0,7
50,9,1,1,0,1234,1,0,2,205,2,0,3,0,6
54,4,1,2,0,313,1,0,2,83,2,0,3,0,7
55,1,1,1,0,89,1,0,2,106,3,0,3,0,7
44,1,1,1,0,129,1,1,2,189,2,0,3,0,5
43,4,1,3,0,0,1,0,2,105,2,0,3,0,5
56,0,1,1,0,353,1,0,2,106,2,0,3,0,7
54,9,1,3,0,851,1,0,2,108,2,0,3,0,7
55,7,0,0,0,96,1,1,2,311,2,0,3,0,7
37,7,0,1,0,398,1,1,2,214,2,0,3,0,3
33,0,2,2,0,193,0,0,2,132,2,0,3,0,3
46,0,1,1,0,-358,1,0,2,358,2,0,3,0,5
36,1,1,1,0,539,1,1,2,453,2,0,3,0,3
51,9,2,1,0,0,1,0,2,364,2,0,3,0,6
40,5,2,0,0,0,0,0,2,136,2,0,3,0,4
42,1,1,1,0,490,1,0,2,386,2,0,3,0,4
51,1,1,1,0,0,1,0,2,173,2,0,3,0,6
49,1,1,3,0,403,1,0,2,241,2,0,3,0,6
48,4,1,1,0,161,1,0,2,224,3,0,3,0,6
32,9,0,2,0,2558,0,0,2,148,2,0,3,0,2
31,0,2,1,0,98,1,0,2,196,2,0,3,0,2
55,4,2,2,0,115,0,0,2,111,4,0,3,0,7
40,1,2,1,0,436,1,0,2,231,3,0,3,0,4
47,9,1,2,0,831,1,0,2,316,3,0,3,0,5
57,9,1,3,0,206,1,0,2,216,3,0,3,0,7
41,1,1,1,0,290,1,0,2,240,2,0,3,0,4
48,1,1,1,0,1,0,0,2,669,3,0,3,0,6
42,1,1,3,0,57,1,0,2,425,2,0,3,0,4
30,1,2,1,0,-457,1,0,2,143,2,0,3,0,2
58,4,2,2,0,1387,1,0,2,174,5,0,3,0,8
45,4,0,2,0,24598,1,0,2,313,3,0,3,0,5
49,1,1,1,0,30,1,0,2,135,4,0,3,0,6
42,0,2,1,0,1022,1,0,2,146,2,0,3,0,4
53,9,1,1,0,56,1,1,2,152,2,0,3,0,7
51,0,2,1,1,-2,0,0,2,402,3,0,3,0,6
32,7,2,1,0,121,1,0,2,213,2,0,3,0,2
41,1,2,1,0,842,1,0,2,144,3,0,3,0,4
43,4,0,1,0,693,1,0,2,124,3,0,3,0,5
40,1,0,1,0,-333,1,0,2,183,2,0,3,0,4
50,1,1,0,0,1533,1,0,2,325,2,0,3,0,6
34,4,1,2,0,46,1,0,2,39,4,0,3,0,3
53,7,1,3,0,18,0,0,2,503,2,0,3,0,7
45,9,1,1,0,44,1,0,2,95,4,0,3,0,5
39,1,1,0,0,-100,1,0,2,680,2,0,3,0,4
44,7,1,2,0,510,1,0,2,421,4,0,3,0,5
55,4,1,2,0,685,1,0,2,174,3,0,3,0,7
46,4,2,2,0,187,1,0,2,113,2,0,3,0,5
45,1,1,1,0,66,1,0,2,808,2,0,3,0,5
34,0,1,1,0,560,1,0,2,198,3,0,3,0,3
36,1,1,1,0,0,1,0,2,195,2,0,3,0,3
59,11,0,3,0,27,0,0,2,347,3,0,3,0,8
31,0,2,1,0,12,1,0,2,208,2,0,3,0,2
44,1,2,1,0,34,1,0,2,404,4,0,3,0,5
33,2,2,2,0,1068,1,0,2,396,2,0,3,0,3
40,1,1,1,0,211,1,0,2,216,4,0,3,0,4
46,0,2,2,0,377,1,0,2,98,2,0,3,0,5
48,4,1,2,0,263,1,0,2,350,2,0,3,0,6
42,7,1,1,0,1263,1,0,2,114,2,0,3,0,4
27,7,1,1,0,8,1,0,2,88,3,0,3,0,1
48,0,1,1,0,126,1,1,2,379,2,0,3,0,6
59,0,1,1,0,230,1,0,2,190,3,0,3,0,8
46,9,1,2,0,841,1,0,2,158,1,0,3,0,5
38,0,0,1,0,308,1,0,2,102,1,0,3,0,4
43,4,0,2,0,1,1,0,2,306,1,0,3,0,5
38,0,0,2,0,86,1,0,2,218,1,0,3,0,4
23,8,2,1,0,157,1,0,2,54,1,0,3,0,1
34,7,1,1,0,22,1,0,2,344,1,0,3,0,3
38,0,1,1,0,46,1,1,2,195,1,0,3,0,4
37,1,1,1,0,1293,0,0,2,652,1,0,3,0,3
25,0,2,1,0,122,1,0,2,286,1,0,3,0,1
48,1,1,3,0,131,1,0,2,189,1,0,3,0,6
49,1,2,1,0,143,1,0,2,83,1,0,3,0,6
38,0,2,1,0,393,0,0,2,184,2,0,3,0,4
43,1,1,0,0,98,1,0,2,235,1,0,3,0,5
33,4,1,2,0,0,1,0,2,290,1,0,3,0,3
55,1,1,1,0,224,1,0,2,232,1,0,3,0,7
38,1,1,1,0,757,1,0,2,133,1,0,3,0,4
49,7,1,1,0,245,1,1,2,318,1,0,3,0,6
40,4,1,1,0,8486,0,0,2,260,3,0,3,0,4
43,0,1,3,0,350,0,0,2,437,1,0,3,0,5
38,1,1,1,0,20,1,0,2,402,1,0,3,0,4
58,7,1,1,0,1667,1,1,2,85,1,0,3,0,8
57,9,1,3,0,345,1,0,2,125,1,0,3,0,7
32,10,1,1,0,10,1,0,2,501,4,0,3,0,2
56,4,1,2,0,830,1,1,2,1201,1,0,3,1,7
58,1,0,3,0,29,1,0,2,253,1,0,3,0,8
60,5,0,1,0,545,1,0,2,1030,1,0,3,1,8
37,9,1,2,0,8730,1,0,2,149,1,0,3,0,3
46,9,0,2,0,477,1,0,2,114,1,0,3,0,5
27,0,1,1,0,4,1,0,2,243,1,0,3,0,1
43,1,1,1,0,1205,1,0,2,769,2,0,3,0,5
32,9,2,1,0,0,1,1,2,135,3,0,3,0,2
40,0,2,1,0,263,1,0,2,231,1,0,3,0,4
38,0,1,1,0,1,0,0,2,76,1,0,3,0,4
34,1,1,1,0,283,0,1,2,199,1,0,3,0,3
47,1,1,0,0,206,1,0,2,152,1,0,3,0,5
42,3,1,0,0,17,1,0,2,124,1,0,3,0,4
48,9,1,1,0,141,1,1,2,424,1,0,3,0,6
29,6,2,2,0,16,1,0,2,43,1,0,3,0,2
50,7,1,1,0,206,1,0,2,154,1,0,3,0,6
52,9,1,3,0,7,0,0,2,203,2,0,3,0,6
50,4,1,2,0,0,0,0,2,326,1,0,3,0,6
58,5,1,2,0,0,0,0,2,393,1,0,3,0,8
46,1,0,0,0,1927,1,0,2,241,3,0,3,0,5
38,9,1,1,0,284,1,0,2,483,1,0,3,0,4
46,1,1,1,0,1660,1,0,2,259,1,0,3,0,5
32,7,2,1,0,406,1,0,2,227,1,0,3,0,2
51,1,1,0,0,230,1,0,2,673,1,0,3,0,6
39,0,2,1,0,-25,1,0,2,576,1,0,3,0,4
48,0,1,1,0,182,1,0,2,180,2,0,3,0,6
36,2,1,2,0,1169,1,0,2,168,2,0,3,0,3
34,0,0,1,0,67,1,0,2,90,1,0,3,0,3
40,9,1,1,0,77,0,0,2,505,1,0,3,0,4
43,10,1,1,0,0,1,0,2,245,1,0,3,0,5
52,1,0,0,0,55,1,1,2,186,1,0,3,0,6
33,9,1,1,1,72,1,0,2,623,1,0,3,0,3
49,4,2,2,0,163,1,0,2,496,3,0,3,0,6
32,4,2,2,0,151,1,0,2,118,1,0,3,0,2
39,0,2,1,0,113,1,0,2,342,1,0,3,0,4
40,1,1,1,0,0,1,0,2,225,1,0,3,0,4
38,9,2,2,0,9,1,0,2,185,3,0,3,0,4
43,4,1,1,0,375,1,0,2,196,2,0,3,0,5
39,7,1,1,0,1142,1,0,2,276,1,0,3,0,4
54,1,1,0,0,2102,1,0,2,76,1,0,3,0,7
38,9,2,2,0,4325,1,0,2,87,1,0,3,0,4
40,1,1,1,0,217,1,0,2,195,1,0,3,0,4
55,0,1,1,0,131,1,0,2,744,1,0,3,0,7
42,4,1,2,0,1680,1,0,2,765,1,0,3,0,4
39,1,1,1,0,0,1,0,2,262,1,0,3,0,4
40,1,1,0,0,46,1,0,2,119,1,0,3,0,4
32,1,1,1,0,320,1,0,2,198,2,0,3,0,2
55,0,1,1,0,183,1,0,2,150,1,0,3,0,7
45,1,1,1,0,39,0,0,2,241,1,0,3,0,5
35,4,2,2,0,560,1,0,2,181,1,0,3,0,3
58,9,0,1,0,469,0,0,2,196,1,0,3,0,8
35,0,1,1,0,530,1,0,2,149,1,0,3,0,3
49,7,1,0,0,61,1,0,2,246,1,0,3,0,6
34,9,2,2,0,242,1,0,2,112,1,0,3,0,3
36,1,1,1,0,139,1,0,2,309,2,0,3,0,3
24,6,2,1,0,0,1,0,2,278,1,0,3,0,1
34,9,1,1,0,367,1,0,2,140,1,0,3,0,3
51,0,0,1,0,228,1,0,2,136,1,0,3,0,6
39,9,2,3,0,45248,1,0,2,1623,1,0,3,1,4
50,6,1,3,0,-84,1,0,2,101,1,0,3,0,6
32,7,2,1,0,310,1,0,2,144,1,0,3,0,2
42,1,1,3,0,132,1,0,2,238,1,0,3,0,4
50,9,1,1,0,797,1,0,2,354,1,0,3,0,6
40,7,1,1,0,71,0,0,2,79,1,0,3,0,4
46,4,0,3,0,2,1,0,2,187,1,0,3,0,5
37,4,1,2,0,231,1,1,2,451,2,0,3,0,3
34,1,1,1,0,270,1,1,2,159,1,0,3,0,3
44,1,1,1,0,274,1,1,2,409,1,0,3,0,5
40,0,2,1,0,-109,1,1,2,170,1,0,3,0,4
37,9,1,1,0,1,1,0,2,608,1,0,3,1,3
33,1,2,1,1,-60,0,0,2,243,1,0,3,0,3
35,1,1,1,0,89,1,0,2,145,2,0,3,0,3
